"seller_key","seller_id","seller_city","seller_state","seller_region","total_revenue","seller_segment","seller_lat","seller_lng"
1,"0015a82c2db000af6aaaf3ae2ecb0532","santo andre","SP","Southeast",2685.0,"Medium Performer",-23.640443596560726,-46.541742273007685
2,"001cca7ae9ae17fb1caed9dfb1094831","cariacica","ES","Southeast",21143.440000000006,"High Performer",-20.27851289140612,-40.411675223412075
3,"001e6ad469a905060d959994f1b41e4f","sao goncalo","RJ","Southeast",250.0,"Low Performer",-22.872354587681087,-43.027432812835386
4,"002100f778ceb8431b7a1020ff7ab48f","franca","SP","Southeast",1234.5000000000002,"Medium Performer",-20.52875913617737,-47.411109783856105
5,"003554e2dce176b5555353e4f3555ac8","goiania","GO","Central-West",120.0,"Low Performer",-16.64057412255124,-49.27648326906269
6,"004c9cd9d87a3c30c522c48c4fc07416","ibitinga","SP","Southeast",18601.970000000005,"High Performer",-21.757320637712766,-48.82974353343713
7,"00720abe85ba0859807595bbf045a33b","guarulhos","SP","Southeast",721.2,"Medium Performer",-23.45197323675553,-46.557171675871174
8,"00ab3eff1b5192e5f1a63bcecfee11c8","sao paulo","SP","Southeast",98.0,"Low Performer",-23.62753429519753,-46.60829070808081
9,"00d8b143d12632bad99c0ad66ad52825","belo horizonte","MG","Southeast",86.0,"Low Performer",-19.92710413330578,-43.94496355953477
10,"00ee68308b45bc5e2660cd833c3f81cc","sao paulo","SP","Southeast",16901.0,"High Performer",-23.55619057504086,-46.569128350390784
11,"00fc707aaaad2d31347cf883cd2dfe10","maringa","PR","South",10351.299999999994,"High Performer",-23.382472093966726,-51.927966489669856
12,"010543a62bd80aa422851e79a3bc7540","sao paulo","SP","Southeast",1416.0,"Medium Performer",-23.538268511790662,-46.63942263256764
13,"010da0602d7774602cd1b3f5fb7b709e","sao bernardo do campo","SP","Southeast",169.9,"Low Performer",-23.710466484131683,-46.54893965048129
14,"011b0eaba87386a2ae96a7d32bb531d1","pompeia","SP","Southeast",49.99,"Low Performer",-22.10367343012363,-50.17893613850752
15,"01266d4c46afa519678d16a8b683d325","curitiba","PR","South",90.25,"Low Performer",-25.44361910981019,-49.276854859939675
16,"013900e863eace745d3ec7614cab5b1a","curitiba","PR","South",1619.6999999999998,"Medium Performer",-25.441786531480883,-49.311076015365074
17,"014c0679dd340a0e338872e7ec85666a","timoteo","MG","Southeast",6718.0,"High Performer",-19.545340606723503,-42.643848513674996
18,"014d9a685fd57276679edd00e07089e5","maringa","PR","South",685.89,"Medium Performer",-23.428319760676164,-51.95833421266875
19,"0176f73cc1195f367f7b32db1e5b3aa8","ibitinga","SP","Southeast",4653.200000000001,"High Performer",-21.757320637712766,-48.82974353343713
20,"01bcc9d254a0143f0ce9791b960b2a47","uruacu","GO","Central-West",1521.21,"Medium Performer",-14.51847480665127,-49.14209708875239
21,"01c97ebb5cdac52891c0ed1c37ba0012","catanduva","SP","Southeast",399.69999999999993,"Low Performer",-21.121028432249712,-48.97081828471117
22,"01cf7e3d21494c41fb86034f2e714fa1","francisco beltrao","PR","South",9249.339999999993,"High Performer",-26.044305666376317,-53.0637135521321
23,"01ed254b9ff8407dfb9d99ba1e17d923","mogi das cruzes","SP","Southeast",1465.99,"Medium Performer",-23.522840094345344,-46.1955458411618
24,"01fd077212124329bac32490e8ef80d9","ribeirao preto / sao paulo","SP","Southeast",1009.0,"Medium Performer",-21.134122864665894,-47.74577904228066
25,"01fdefa7697d26ad920e9e0346d4bd1b","londrina","PR","South",14702.62999999997,"High Performer",-23.331336816395325,-51.17724545430462
26,"0241d4d5d36f10f80c644447315af0bd","curitiba","PR","South",31139.0000000001,"High Performer",-25.4699735553138,-49.30737230197128
27,"0249d282d911d23cb8b869ab49c99f53","sao paulo","SP","Southeast",393.0,"Low Performer",-23.596964866261928,-46.69861843897608
28,"024b564ae893ce8e9bfa02c10a401ece","sao paulo","SP","Southeast",197.4,"Low Performer",-23.583551201893485,-46.537383667805834
29,"028872bfa080090a9d0abd4f1af168f8","ribeirao das neves","MG","Southeast",23.5,"Low Performer",-19.814426532426847,-44.026272586341875
30,"02a2272692e13558373c66db98f05e2e","rio de janeiro","RJ","Southeast",54.98,"Low Performer",-22.905686000249105,-43.17715630706045
31,"02b72cdeb9cfcc429f1af6f4e3f3b737","ibitinga","SP","Southeast",522.65,"Medium Performer",-21.757320637712766,-48.82974353343713
32,"02c988090b766852e088c69d7fb3b551","americana","SP","Southeast",1580.6500000000003,"Medium Performer",-22.72062533010144,-47.30723687984722
33,"02d35243ea2e497335cd0f076b45675d","natal","RN","Northeast",5256.0,"High Performer",-5.8402480652230375,-35.20793075034625
34,"02dcd3e8e25bee036e32512bcf175493","contagem","MG","Southeast",1396.9,"Medium Performer",-19.9387689332349,-44.038341698250974
35,"02ecc2a19303f05e59ce133fd923fff7","santo andre","SP","Southeast",4777.09,"High Performer",-23.681514252303955,-46.50092180775808
36,"02f5837340d7eb4f653d676c7256523a","curitiba","PR","South",3883.0499999999993,"Medium Performer",-25.458880971712073,-49.284894008186754
37,"02f623a8eb246f3c5f7c2f96462654e6","botucatu","SP","Southeast",6378.0,"High Performer",-22.874881658404487,-48.4357533856323
38,"0307f7565ff85b299b6e5ef162b1b1a9","sao jose do rio preto","SP","Southeast",4728.8,"High Performer",-20.83620882180298,-49.38807095699605
39,"0336182e1b3e92f029d5354832045fdf","ibitinga","SP","Southeast",29.8,"Low Performer",-21.757320637712766,-48.82974353343713
40,"034b9387752bfa309f350a70cd45ffa3","blumenau","SC","South",96.0,"Low Performer",-26.918216834656107,-49.09395375152906
41,"038b75b729c8a9a04b0d07cba7eabe86","sao jose dos campos","SP","Southeast",467.0,"Medium Performer",-23.224372002311355,-45.882059803885305
42,"039b29ff3b3473435d0cd59040575de9","ribeirao pires","SP","Southeast",114.90000000000002,"Low Performer",-23.68064494696187,-46.34951520939183
43,"039e6ad9dae79614493083e241147386","sao paulo","SP","Southeast",12925.0,"High Performer",-23.547610027193883,-46.49977649619726
44,"03a2a6dcbe45d639c4dc2a0d24769c40","maua","SP","Southeast",1078.4099999999999,"Medium Performer",-23.671406718740258,-46.430267450470716
45,"03bd479e1d9484cdb14104d3023f7321","uberlandia","MG","Southeast",359.70000000000005,"Low Performer",-18.89161596272861,-48.28981551637616
46,"0417b067eeab773d2f7061a726dc477f","sao bento do sul","SC","South",1859.1799999999998,"Medium Performer",-26.232193978218582,-49.411882265954304
47,"042573af89b6d931f672efaf789d8358","sorocaba","SP","Southeast",413.48,"Low Performer",-23.502754626563185,-47.430450592561066
48,"04308b1ee57b6625f47df1d56f00eedf","bombinhas","SC","South",60130.60000000009,"High Performer",-27.156572530334884,-48.50320378589788
49,"0432ead42b6c8a0bdf68154add917fdf","maua","SP","Southeast",7792.099999999988,"High Performer",-23.660030872728164,-46.44151148849928
50,"044668ccd5316b12a7cf0d54a156e3e9","osasco","SP","Southeast",104.22999999999999,"Low Performer",-23.532463426093493,-46.7795430751613
51,"04843805947f0fc584fc1969b6e50fe7","ivoti","RS","South",700.0,"Medium Performer",-29.60528689356289,-51.164277892118754
52,"048c2757535328e0d7dac690ad3c0aae","franca","SP","Southeast",9264.779999999995,"High Performer",-20.536613759556865,-47.433583875541835
53,"04aa0a1c5ce6b222003403a3e11c3cc0","cosmopolis","SP","Southeast",3754.0,"Medium Performer",-22.641854186411024,-47.189385100712364
54,"04aba03279157f6d4e0fe8ccaf21963c","santo antonio de padua","RJ","Southeast",2575.9,"Medium Performer",-21.552859881634557,-42.19618878044137
55,"04e38a233f726ef161074ab1c9b0399a","sao paulo","SP","Southeast",1190.7,"Medium Performer",-23.54309527008478,-46.63105919621764
56,"04ee0ec01589969663ba5967c0e0bdc0","lajeado","RS","South",289.49,"Low Performer",-29.430823732155336,-51.99377718667392
57,"04fdea0c111866e6cf812f1570d6b5bd","sao paulo","SP","Southeast",1055.0,"Medium Performer",-23.55384247002896,-46.412308355751016
58,"0509040ea3fe50071181bbc359eb7738","belo horizonte","MG","Southeast",3562.8600000000047,"Medium Performer",-19.84004168068012,-43.95933923847523
59,"052577151711aec5c744fe12e66db3e1","rodeio","SC","South",2748.0,"Medium Performer",-26.889322403539182,-49.350562973333936
60,"054694fa03fe82cec4b7551487331d74","itajobi","SP","Southeast",9584.1,"High Performer",-21.314997747152887,-49.05541730507598
61,"056b4ada5bbc2c50cc7842547dda6b51","queimados","RJ","Southeast",12173.399999999989,"High Performer",-22.73701486100054,-43.56361873677635
62,"0570350b23eda5444f8d1d9544932058","sao paulo","SP","Southeast",344.2,"Low Performer",-23.51387705958752,-46.75621774505108
63,"05730013efda596306417c3b09302475","criciuma","SC","South",952.0,"Medium Performer",-28.678033689593565,-49.33883528084043
64,"058cb5aeb36d7c0fcae20fc85d5e0a59","rio de janeiro","RJ","Southeast",1283.0,"Medium Performer",-22.832902971525176,-43.41230278119794
65,"058fd0aa2bfdb2274e05e1ae971dabb6","santo andre","SP","Southeast",7528.9,"High Performer",-23.661829862870693,-46.526935182825184
66,"05a48cc8859962767935ab9087417fbb","sao paulo","SP","Southeast",42.9,"Low Performer",-23.57983030302489,-46.75751352696018
67,"05a940b4ecae36cadfd8e93bd9c43257","goiania","GO","Central-West",951.9999999999999,"Medium Performer",-16.69394476413473,-49.2969943378018
68,"05aebce0b5c8f0d41b29b686f2d05fd3","sao paulo","SP","Southeast",74.99000000000001,"Low Performer",-23.60567392342068,-46.481512620852826
69,"05ca864204d09595ae591b93ea9cf93d","barueri","SP","Southeast",179.9,"Low Performer",-23.498520694082103,-46.85053707630061
70,"05d2173d43ea568aa0540eba70d2ca76","alfenas","MG","Southeast",5759.66,"High Performer",-21.422172782486314,-45.964344365355856
71,"05e107217c7266362fd44b75b2cd4cc4","sao paulo - sp","SP","Southeast",150.59,"Low Performer",-23.56033909413364,-46.75091587091028
72,"05f51e13da97139648b8125c31e5f51b","belo horizonte","MG","Southeast",12820.309999999987,"High Performer",-19.869927909222362,-43.919706450313775
73,"05feb94f19d094d4b0f9281f0b1d4c99","mogi das cruzes","SP","Southeast",9353.0,"High Performer",-23.543394600163566,-46.262085681846166
74,"05ff92fedb5be47920fea08e501238b9","santo angelo","RS","South",21593.780000000006,"High Performer",-28.29055251979835,-54.26251143307887
75,"062c325cd6a2b87845fab56b4ec2eeae","sao paulo","SP","Southeast",133.22,"Low Performer",-23.518635254069064,-46.413806647070324
76,"062ce95fa2ad4dfaedfc79260130565f","lajeado","RS","South",7019.499999999995,"High Performer",-29.44657988996661,-51.96120191364099
77,"06532f10282704ef4c69168b914b77be","paincandu","PR","South",10220.5,"High Performer",-23.45682094005968,-52.03990549710545
78,"06579cb253ecd5a3a12a9e6eb6bf8f47","sao paulo - sp","SP","Southeast",4134.2000000000035,"Medium Performer",-23.57923601959563,-46.653829772757454
79,"066a6914e1ebf3ea95a216c73a986b91","foz do iguacu","PR","South",9031.879999999992,"High Performer",-25.52417941764146,-54.56954811777932
80,"0691148aee60ca47977c187804f935ae","londrina","PR","South",4564.510000000001,"High Performer",-23.318127092647064,-51.15713642282817
81,"0692610d8abe24f287e9fae90ea0bbee","sao paulo","SP","Southeast",173.99,"Low Performer",-23.472814658449078,-46.600729145013894
82,"06a2c3af7b3aee5d69171b0e14f0ee87","sao luis","MA","Northeast",35833.03000000019,"High Performer",-2.5012422006260033,-44.248163365967585
83,"06bb3a2fe5e7b7a845b13e8fb91bd944","belo horizonte","MG","Southeast",1536.19,"Medium Performer",-19.83841420727106,-43.91567119293644
84,"06df0c10d34e459d9672bc77388742eb","maringa","PR","South",7874.0,"High Performer",-23.42413885933309,-51.89568585707491
85,"06e5eefc71ec47ae763c5c6f8db7064f","porto alegre","RS","South",21860.540000000005,"High Performer",-30.01552834486622,-51.16270825237459
86,"07017df32dc5f2f1d2801e579548d620","joao pessoa","PB","Northeast",878.59,"Medium Performer",-7.114710808753133,-34.855616162565795
87,"070d165398b553f3b4b851c216b8a358","sao paulo","SP","Southeast",2728.3099999999986,"Medium Performer",-23.588437863894512,-46.51144073547189
88,"0725b8c0f3f906e58f70cbe76b7c748c","guarulhos","SP","Southeast",1199.37,"Medium Performer",-23.47757819572215,-46.54104308769279
89,"0743a0239d764b9a0f959a57d07e36ab","sao paulo","SP","Southeast",336.96,"Low Performer",-23.58741915450063,-46.581435332792125
90,"0747d5bb69f0586cc869d8af4c50f93e","saquarema","RJ","Southeast",346.59999999999997,"Low Performer",-22.92375654835557,-42.50447966854643
91,"0761743cbffb25d7148189e9f1a5f03a","ribeirao preto","SP","Southeast",100.56,"Low Performer",-21.20131082333705,-47.7779524735565
92,"077c5fae4bea9500e3737b16f71b9d3a","sorocaba","SP","Southeast",49.2,"Low Performer",-23.531731945338546,-47.49980351058786
93,"0791d9fc1e30678ecf03d3e55fa108d3","belo horizonte","MG","Southeast",538.0,"Medium Performer",-19.896490671704086,-43.968757304671726
94,"079d295dcbf06ee8bb1b65ba964eb2b6","sao paulo","SP","Southeast",179.3,"Low Performer",-23.506976913025856,-46.57712086357542
95,"07a9bc7f61396b658ddf3ac534efe44c","sao paulo","SP","Southeast",119.9,"Low Performer",-23.50194675411805,-46.698500163243956
96,"07bf9669d84d1f11be443a9dd938f698","sao paulo","SP","Southeast",1284.0,"Medium Performer",-23.662843397851404,-46.71802738661014
97,"07d75e33f2750d97d467fb57e4dfdd8a","sao paulo","SP","Southeast",722.4,"Medium Performer",-23.51865496410496,-46.59365984819464
98,"07de60b03d150fb3ea09eab5da5e4c8b","ibitinga","SP","Southeast",719.0999999999999,"Medium Performer",-21.757320637712766,-48.82974353343713
99,"07e8e8fc5222bb358e6f259da3197074","sao paulo","SP","Southeast",51.8,"Low Performer",-23.5966919223351,-46.600517415347056
100,"080102cd0a76b09e0dcf55fcacc60e05","belo horizonte","MG","Southeast",5610.809999999991,"High Performer",-19.894574207526322,-43.931234581848464
101,"080199a181c46c657dc5aa235411be3b","osasco","SP","Southeast",14324.709999999986,"High Performer",-23.528549092116894,-46.779788326644095
102,"08061dc0fc165ed41288cc7acde738ee","osasco","SP","Southeast",123.80000000000001,"Low Performer",-23.55807593943668,-46.776020963910824
103,"08084d990eb3f53af056ccbc1730c8a7","sao paulo","SP","Southeast",372.50000000000006,"Low Performer",-23.517499589303572,-46.53574289589707
104,"081acf3de680d554796c9cf041be7bc2","vespasiano","MG","Southeast",1478.9,"Medium Performer",-19.73109725363684,-43.941465688797514
105,"082e0bf4cb865a6533b1e8e498cc0255","botucatu","SP","Southeast",1641.6999999999998,"Medium Performer",-22.86605277327738,-48.46069203327624
106,"085f6f7e049c996695fb2074fe38d45e","taubate","SP","Southeast",281.9,"Low Performer",-23.02428090518156,-45.55908211584209
107,"08633c14ef2db992c11f840f04fad4cd","ribeirao pires","SP","Southeast",6100.599999999992,"High Performer",-23.738855470323358,-46.447140971353605
108,"0873d9f8f36123f8d910f4760e788cfb","barueri","SP","Southeast",7265.59,"High Performer",-23.498520694082103,-46.85053707630061
